group,feature,n,missing_rate,mean,std,median,iqr,min,max,eta_squared_label,cohens_d_positive_vs_negative,cohens_d_positive_vs_neutral,cohens_d_negative_vs_neutral,negative_mean,negative_median,negative_iqr,neutral_mean,neutral_median,neutral_iqr,positive_mean,positive_median,positive_iqr
Global spectral state,gamma_ratio,4017,0.0,0.16546380186283033,0.06321406421783322,0.1492314398677072,0.0661593768221291,0.0420694192382197,0.4437450084869684,0.47956009872797467,1.5044888372221383,2.008160072900445,0.7445970784506574,0.14558581459933342,0.1414023181480406,0.03923786301797036,0.12306034895676515,0.12215634306587636,0.03824221771281558,0.2244553556512428,0.2123416359522866,0.096869531770683
Derived ratios,gamma_beta_ratio,4017,0.0,0.41279925661998235,0.14814068999797173,0.3745388237207859,0.15648562882321748,0.1507921670425831,1.1797855263848962,0.44308368756065436,1.4582353172594122,1.8324560664181557,0.5240099056909305,0.3610874552172949,0.3527161116355268,0.09480632029274955,0.3229177475084347,0.3257932687027296,0.08935857798482405,0.5469837639602853,0.5204735824677574,0.2049671252858004
Global spectral state,alpha_ratio,4017,0.0,0.24761330959846317,0.09247463363912971,0.2312535668489383,0.1310700624788734,0.0708876897844076,0.6582626527598584,0.3269159985456338,-0.9339249304981716,-1.70044926373487,-0.7809049103150388,0.2497442806237525,0.2361135598291891,0.09350162126481282,0.3130018609581292,0.313428207658202,0.13521648883786408,0.18387052471758228,0.1710579405771387,0.0824607371181719
Derived ratios,beta_alpha_ratio,4017,0.0,1.9158964557369302,0.8906406768120188,1.7529084579933212,1.1940753744360504,0.3235658365562426,6.220691292067145,0.30128426080184295,0.9010411612564807,1.5032661050132288,0.7220588664001086,1.804048681183234,1.7235356992581317,0.868116559738322,1.3642753143654098,1.2242313813434587,0.7604405258581358,2.543237767893127,2.4466559582966285,1.2804469595366803
Regional activity,temporal_alpha,4017,0.0,0.03764610050334048,0.0267317685214285,0.0302759117425921,0.027140536624301603,0.0048285486809618,0.461495166819077,0.19504037854019857,-0.36879125081840525,-1.295002404255104,-0.7276851881214328,0.03408269093220577,0.0277892761212683,0.021708425264035994,0.05389980645041688,0.0480856149147257,0.0352963420164088,0.025708541689368834,0.02195824856599245,0.015396457030127977
Regional activity,occipital_alpha,4017,0.0,0.039715200573004435,0.0304497464783563,0.0331219209577036,0.0201238569678191,0.0095726666261019,0.6601908693317621,0.08692943486238863,-0.09956207412224301,-0.7238173215541466,-0.5650380883750585,0.0349558961114296,0.0298911086288585,0.014491417531543049,0.05252971385564943,0.0465955654652299,0.024242779862375274,0.032164822816124095,0.02825571135046575,0.012148816951391223
Global spectral state,beta_ratio,4017,0.0,0.400362139564943,0.047601084916011414,0.4023456408947272,0.06363398213705573,0.2019114238323907,0.5486655272866627,0.07087863772031848,0.14437678767055356,0.6584256515906587,0.4826512096030625,0.4056637125047376,0.4055456090087697,0.06187683973205643,0.38252891419046214,0.381496936371731,0.06924605751701207,0.4121311711598004,0.4115760225476328,0.05439281906181487
Regional activity,frontal_alpha,4017,0.0,0.03766001577654073,0.030136158360862805,0.0294618203122354,0.023005159480362598,0.004454271013401,0.6335974076654338,0.06416629789944377,-0.12408002770338207,-0.6072753788712832,-0.4877995059814235,0.03431913284970464,0.0272932907500944,0.020283009986717955,0.04843385541954367,0.041347810056322445,0.033581922748737725,0.030681520725426962,0.025441432491675152,0.0148171087028004
Global spectral state,theta_ratio,4017,0.0,0.18656067767010553,0.05145320100155123,0.1848214975039195,0.0683771128128351,0.0676200327309893,0.4662784867743963,0.028951753570490964,-0.38026919298396816,-0.03580601365937345,0.3608653717181632,0.19900610992261067,0.1961085879131102,0.05514261491420869,0.18140881073233314,0.17836626047271503,0.06946508019925357,0.1795428819158068,0.17479571906315894,0.07629521365405562
Frontal asymmetry,faa_f3_f4,4017,0.0,0.1620942087141535,0.8681299507895336,0.0880339957794502,1.0301456174473502,-2.6354451367757776,3.6997528298325486,0.024757075035409158,-0.006367557053852495,0.34211901668075134,0.3561883042407228,0.2599270411590761,0.1836962612531483,0.9638817667621378,-0.03445469064509662,-0.1317402090478225,0.96563900507602,0.2541960290873618,0.1835573126971983,1.1280755600416836
