feature,activity,alpha_ratio,beta_alpha_ratio,beta_ratio,entropy,faa_f3_f4,faa_f7_f8,faa_fp1_fp2,frontal_alpha,frontal_beta,frontal_gamma,frontal_occipital_alpha_ratio,gamma_beta_ratio,gamma_ratio,occipital_alpha,temporal_alpha,temporal_beta,theta_ratio
activity,1.0,-0.11686216405317529,-0.00540807507099642,-0.11243363378194839,0.3066962999547269,-0.29322961682512244,0.24848335185413836,-0.3744083631724081,0.28239700374531834,0.24382434045355394,0.39571140470016875,0.05000617360167922,0.28414207515331114,0.2743795530312384,0.2722722969913981,0.08739350537103346,0.29882701568094827,-0.07542494958225296
alpha_ratio,-0.11686216405317529,1.0,-0.8804461456146849,-0.5780713668354118,0.16756801251183273,0.5289624233444458,-0.3689755936946948,0.4245873976211055,-0.3943779067374573,-0.6901510474544182,-0.7253158826192534,-0.49868708070955264,-0.5751574268428201,-0.7248549203605383,0.17278676379799976,0.21603490142815984,-0.27951598962834917,0.5049429970778285
beta_alpha_ratio,-0.00540807507099642,-0.8804461456146849,1.0,0.8509774869325432,-0.05347985347985348,-0.4062476848993703,0.445100218133926,-0.25911840968020744,0.36732929991356955,0.780927686545664,0.6401695682594559,0.4477507511215376,0.3929950199613121,0.637239165329053,-0.1618718360291394,-0.25766967115281725,0.0342346791784994,-0.7444128904803062
beta_ratio,-0.11243363378194839,-0.5780713668354118,0.8509774869325432,1.0,0.014100506235337696,-0.22413466683129604,0.5402230728073425,-0.034712104375025726,0.41553278182491665,0.758291147055192,0.47763098324896075,0.41041280816561715,0.17112400707906325,0.4146602461209203,-0.1319422150882825,-0.22331151994073342,-0.16452236901675105,-0.834860270815327
entropy,0.3066962999547269,0.16756801251183273,-0.05347985347985348,0.014100506235337696,1.0,0.154150718195662,-0.1969543565049183,-0.002049635757500926,-0.24226036136148496,-0.19697081944272957,-0.1751903527184426,-0.29555089105650906,-0.1342964151952916,0.010824381610898465,0.0039922624192287115,-0.11376713174465984,-0.0862740255998683,0.03298349590484422
faa_f3_f4,-0.29322961682512244,0.5289624233444458,-0.4062476848993703,-0.22413466683129604,0.154150718195662,1.0,-0.5153146478989176,0.7059554677532206,-0.5388731119068197,-0.5056509034037124,-0.6060418981767296,-0.593019714368029,-0.5396797958595712,-0.560867596822653,-0.06986047660204964,-0.05843519776104046,-0.4750298390747829,0.29018397333004076
faa_f7_f8,0.24848335185413836,-0.3689755936946948,0.445100218133926,0.5402230728073425,-0.1969543565049183,-0.5153146478989176,1.0,-0.24232621311272998,0.930937975881796,0.758883812816397,0.7360991068856237,0.811054862740256,0.5541177923200395,0.5134214100506236,-0.007218998230234185,-0.0730213606618101,0.18177552784294357,-0.6230481129357534
faa_fp1_fp2,-0.3744083631724081,0.4245873976211055,-0.25911840968020744,-0.034712104375025726,-0.002049635757500926,0.7059554677532206,-0.24232621311272998,1.0,-0.2660493064987447,-0.30547804255669425,-0.5014199283862205,-0.32495369798740587,-0.4751615425772729,-0.5418529036506564,-0.03816932131538873,0.023303288471827797,-0.5521751656583117,0.13120138288677616
frontal_alpha,0.28239700374531834,-0.3943779067374573,0.36732929991356955,0.41553278182491665,-0.24226036136148496,-0.5388731119068197,0.930937975881796,-0.2660493064987447,1.0,0.7482322920525167,0.7604313289706548,0.8501378771041692,0.6190640819854303,0.49784747088117876,0.04452401531053216,0.055702350084372555,0.3656665431946331,-0.485796600403342
frontal_beta,0.24382434045355394,-0.6901510474544182,0.780927686545664,0.758291147055192,-0.19697081944272957,-0.5056509034037124,0.758883812816397,-0.30547804255669425,0.7482322920525167,1.0,0.8470757706712763,0.6124789068609293,0.46669959254228915,0.5780055150841668,0.1455076758447545,0.009145161954150717,0.14392723381487427,-0.7642178046672429
