subject,trial,label,window_size,n_windows,n_features,missing_rate,row_valid_rate,feature_valid_rate,sparsity_rate,matrix_entropy,mean_abs_corr,effective_rank_proxy,similarity_mean,similarity_std,feature_mean_of_means,feature_mean_of_stds,feature_mean_of_vars,stability_score
1,0,1,200,469,18,0.0,1.0,1.0,0.0,1.978980224554897,0.2104940934769028,9.020032871550184,0.3829576192407509,0.41376837175782843,4.765448090016032,5.183018823286199,182.25603663309784,0.005486786711807226
1,0,1,400,234,18,0.0,1.0,1.0,0.0,2.0301948535293133,0.244772749971798,8.336050528810167,0.47773552630184957,0.37206802427166147,4.60657473096187,4.660416360331284,173.36694235077417,0.005768112342426932
1,0,1,600,155,18,0.0,1.0,1.0,0.0,1.9787892687863602,0.2541506230765902,7.8487320146260515,0.48279000047037246,0.36256034477963656,4.703557967400378,4.539786012862245,171.00611169785728,0.005847744212255851
1,0,1,800,116,18,0.0,1.0,1.0,0.0,1.9771930046339636,0.2781879352538474,7.300036747695645,0.5772971062088349,0.31440303439918055,4.7809722701988955,4.3428272242706685,166.3254690012658,0.006012308312999656
1,0,1,1000,93,18,0.0,1.0,1.0,0.0,1.9187146898299778,0.28354746906411404,7.954068593359992,0.5405859087363202,0.34998468894049034,4.82625819643733,4.203425126606704,161.18788978990878,0.006203940018331116
1,0,1,1200,77,18,0.0,1.0,1.0,0.0,2.023828138969065,0.29022062442023056,7.747774719741053,0.5477533928399645,0.34693007529921294,4.8615987304663735,4.083796229228599,159.49713875098675,0.006269704947488384
1,0,1,1400,66,18,0.0,1.0,1.0,0.0,1.9679428892721196,0.2964147417730802,7.073654950842444,0.5007945502639568,0.3562814667096895,4.928718973944469,4.04638793027782,155.46135182578962,0.006432466900559811
1,0,1,1600,57,18,0.0,1.0,1.0,0.0,1.9490388098758047,0.31082181953543825,7.638549555426738,0.5576248035685223,0.32668711836018005,4.979870685494521,3.9226992752059613,153.79731996286904,0.006502063886265425
1,0,1,1800,51,18,0.0,1.0,1.0,0.0,2.0414226924606376,0.31972972724882553,7.999391309875313,0.5702145104673856,0.31276443611446064,5.003795945015246,3.8140013348739235,149.74156994383952,0.006678172269118506
1,0,1,2000,46,18,0.0,1.0,1.0,0.0,2.0696218871251357,0.34742005986998586,8.012569331198318,0.5704086038416054,0.2897749612768277,5.047707077333741,3.733393596313656,144.88270007536786,0.006902135309535089
1,1,0,200,465,18,0.0,1.0,1.0,0.0,2.1777581235316616,0.22025820373840913,11.107164175990555,0.3342540672428044,0.369705537754058,3.758456348384912,3.4547096502935317,64.05341045006091,0.015611971209925317
1,1,0,400,232,18,0.0,1.0,1.0,0.0,2.2259088118465358,0.24317499834013456,9.976980066968359,0.4147749829504747,0.38997252783360475,3.602994753777008,2.9453326945421967,58.15855204310728,0.01719437580025812
